Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
Hamilton,1999550.0,"$173,187.00",$200.68,"9,9641,324",80,94.07,8.31,2022-02-20,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1582038.75,"$282,154.25",$128.45,"12,3161,579",80,97.5,5.12,2022-02-20,False,Lyric Theatre
The Lion King,1457409.0,"$182,355.20",$112.70,"12,9321,696",80,95.31,0.42,2022-02-20,True,Minskoff Theatre
MJ The Musical,1409885.0,"$171,683.50",$127.40,"11,0671,414",80,97.83,5.4,2022-02-20,False,Neil Simon Theatre
Moulin Rouge! The Musical,1306828.3,"$141,452.40",$126.72,"10,3131,300",80,99.16,2.12,2022-02-20,True,Al Hirschfeld Theatre
The Music Man,3179870.76,"$329,047.43",$265.01,"11,9991,525",80,98.35,1.96,2022-02-20,False,Winter Garden Theatre
The Phantom of the Opera,853429.2,"$147,534.20",$89.76,"9,5081,605",80,74.05,4.91,2022-02-20,True,Majestic Theatre
SIX: The Musical,1171086.0,"$176,713.00",$145.82,"8,0311,031",80,97.37,7.54,2022-02-20,False,Lena Horne Theatre
Skeleton Crew,295725.0,"$45,972.00",$62.38,"4,741575",80,103.07,-0.45,2022-02-20,False,Samuel J. Friedman Theatre
Tina: The Tina Turner Musical,729516.0,"-$36,624.50",$108.92,"6,6981,478",80,56.65,-7.1,2022-02-20,True,Lunt-Fontanne Theatre
Wicked,1498822.0,"$226,117.00",$121.47,"12,3391,807",70,97.55,-0.46,2022-02-20,True,Gershwin Theatre
The Book of Mormon,957491.78,"-$19,559.20",$113.57,"8,4311,066",80,98.86,2.24,2022-02-27,False,Eugene O'Neill Theatre
Chicago,510160.77,"-$41,894.48",$83.84,"6,0851,080",80,70.43,-3.81,2022-02-27,True,Ambassador Theatre
Come From Away,539863.5,"-$39,700.44",$78.92,"6,8411,046",80,81.75,2.47,2022-02-27,False,Gerald Schoenfeld Theatre
Company,792060.88,"-$59,213.36",$103.96,"7,6191,046",80,91.05,0.26,2022-02-27,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,673654.55,"$25,981.95",$94.36,"7,1391,509",60,78.85,2.92,2022-02-27,False,St. James Theatre
Dear Evan Hansen,780589.17,"-$18,662.15",$103.61,"7,534984",80,95.71,4.97,2022-02-27,True,Music Box Theatre
Hadestown,904872.6,"-$41,262.59",$122.88,"7,364918",80,100.27,-0.42,2022-02-27,False,Walter Kerr Theatre
Hamilton,2273965.0,"$274,415.00",$214.18,"10,6171,324",80,100.24,6.17,2022-02-27,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1571069.0,"-$10,969.75",$125.64,"12,5051,579",80,98.99,1.49,2022-02-27,False,Lyric Theatre
The Lion King,1588688.0,"$131,279.00",$119.03,"13,3471,696",80,98.37,3.06,2022-02-27,True,Minskoff Theatre
MJ The Musical,1367892.3,"-$41,992.70",$126.05,"10,8521,414",80,95.93,-1.9,2022-02-27,False,Neil Simon Theatre
Moulin Rouge! The Musical,1279777.75,"-$27,050.55",$124.32,"10,2941,300",80,98.98,-0.18,2022-02-27,True,Al Hirschfeld Theatre
The Music Man,3403638.09,"$223,767.33",$283.33,"12,0131,525",80,98.47,0.12,2022-02-27,False,Winter Garden Theatre
The Phantom of the Opera,865693.18,"$12,263.98",$82.87,"10,4461,605",80,81.36,7.31,2022-02-27,True,Majestic Theatre
Plaza Suite,720822.5,$0.00,$246.44,"2,925975",3,100.0,0.0,2022-02-27,False,Hudson Theatre
SIX: The Musical,1223370.0,"$52,284.00",$150.42,"8,1331,031",80,98.61,1.24,2022-02-27,False,Lena Horne Theatre
Tina: The Tina Turner Musical,874554.5,"$145,038.50",$102.55,"8,5281,478",80,72.12,15.47,2022-02-27,True,Lunt-Fontanne Theatre
Wicked,1586470.0,"$87,648.00",$116.50,"13,6181,807",80,94.2,-3.35,2022-02-27,True,Gershwin Theatre
The Book of Mormon,841639.65,"-$115,852.13",$104.27,"8,0721,066",80,94.65,-4.21,2022-03-06,False,Eugene O'Neill Theatre
Chicago,340931.25,"-$169,229.52",$82.27,"4,1441,080",80,47.96,-22.47,2022-03-06,True,Ambassador Theatre
Come From Away,387693.5,"-$152,170.00",$80.25,"4,8311,046",80,57.73,-24.02,2022-03-06,False,Gerald Schoenfeld Theatre
Company,514999.2,"-$277,061.68",$98.53,"5,2271,046",80,62.46,-28.59,2022-03-06,True,Bernard B. Jacobs Theatre
David Byrne's American Utopia,675262.7,"$1,608.15",$105.99,"6,3711,509",60,70.37,-8.48,2022-03-06,False,St. James Theatre
Dear Evan Hansen,536235.5,"-$244,353.67",$98.05,"5,469984",80,69.47,-26.24,2022-03-06,True,Music Box Theatre
Hadestown,823016.3,"-$81,856.30",$113.77,"7,234918",80,98.5,-1.77,2022-03-06,False,Walter Kerr Theatre
Hamilton,1957383.0,"-$316,582.00",$203.45,"9,6211,324",80,90.83,-9.41,2022-03-06,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1180297.3,"-$390,771.70",$115.08,"10,2561,579",80,81.19,-17.8,2022-03-06,False,Lyric Theatre
The Lion King,1095084.0,"-$493,604.00",$86.76,"12,6221,696",80,93.03,-5.34,2022-03-06,True,Minskoff Theatre
MJ The Musical,1124809.9,"-$243,082.40",$125.65,"8,9521,414",80,79.14,-16.79,2022-03-06,False,Neil Simon Theatre
Moulin Rouge! The Musical,1097843.85,"-$181,933.90",$122.87,"8,9351,300",80,85.91,-13.07,2022-03-06,True,Al Hirschfeld Theatre
The Music Man,3226508.0,"-$177,130.09",$275.91,"11,6941,525",80,95.85,-2.62,2022-03-06,False,Winter Garden Theatre
The Phantom of the Opera,670301.5,"-$195,391.68",$95.77,"6,9991,605",80,54.51,-26.85,2022-03-06,True,Majestic Theatre
Plaza Suite,1607753.3,"$886,930.80",$212.41,"7,569975",8,97.04,-2.96,2022-03-06,False,Hudson Theatre
SIX: The Musical,1120497.0,"-$102,873.00",$141.12,"7,9401,031",80,96.27,-2.34,2022-03-06,False,Lena Horne Theatre
Tina: The Tina Turner Musical,609094.0,"-$265,460.50",$117.13,"5,2001,478",80,43.98,-28.14,2022-03-06,True,Lunt-Fontanne Theatre
Wicked,1132287.0,"-$454,183.00",$107.04,"10,5781,807",70,83.63,-10.57,2022-03-06,True,Gershwin Theatre
The Book of Mormon,973094.75,"$131,455.10",$116.15,"8,3781,066",80,98.24,3.59,2022-03-13,False,Eugene O'Neill Theatre
