Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
MJ The Musical,1622828.0,"$26,339.00",$149.51$250.00,"10,8541,387",80,97.82,0.64,2023-07-23,False,Neil Simon Theatre
Moulin Rouge! The Musical,1191452.84,"-$8,747.48",$115.29$0.00,"10,3341,300",80,99.37,2.77,2023-07-23,True,Al Hirschfeld Theatre
"New York, New York",685860.62,"-$6,189.91",$74.79$0.00,"9,1701,659",80,69.09,0.82,2023-07-23,True,St. James Theatre
Once Upon A One More Time,550938.5,"-$76,987.50",$82.79$297.00,"6,6551,604",80,51.86,-4.34,2023-07-23,False,Marquis Theatre
Parade,1295629.5,"-$48,836.07",$155.56$297.00,"8,3291,020",80,102.07,1.99,2023-07-23,True,Bernard B. Jacobs Theatre
Peter Pan Goes Wrong,550081.8,"$102,411.80",$87.04$197.00,"6,3201,047",80,75.45,11.16,2023-07-23,False,Ethel Barrymore Theatre
Shucked,789210.6,"$49,637.70",$95.13$179.00,"8,2961,171",80,88.56,0.23,2023-07-23,True,Nederlander Theatre
SIX: The Musical,968909.75,"$36,153.75",$124.22$249.00,"7,8001,031",80,94.57,-0.86,2023-07-23,False,Lena Horne Theatre
Some Like It Hot,936480.9,"$42,328.60",$101.44$278.00,"9,2321,448",80,79.7,1.81,2023-07-23,True,Sam S. Shubert Theatre
Sweeney Todd,1830235.0,"$24,725.00",$173.15$399.00,"10,5701,498",70,100.8,0.08,2023-07-23,False,Lunt-Fontanne Theatre
Wicked,1916041.0,"$113,445.00",$131.65$275.00,"14,5541,867",80,97.47,1.79,2023-07-23,True,Gershwin Theatre
Aladdin,1619403.5,"$2,018.80",$119.66$215.50,"13,5331,727",80,97.95,0.65,2023-07-30,True,New Amsterdam Theatre
Back To The Future,1135891.85,"-$240,528.35",$109.80$297.00,"10,3451,489",7,99.25,1.86,2023-07-30,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",657080.5,"-$64,364.75",$129.04$347.50,"5,0921,152",80,55.25,-3.43,2023-07-30,False,Broadhurst Theatre
The Book of Mormon,961163.51,"-$29,191.42",$117.54$0.00,"8,1771,066",80,95.88,-1.83,2023-07-30,False,Eugene O'Neill Theatre
Chicago,637540.75,"$22,266.10",$91.89$248.00,"6,9381,080",80,80.3,3.73,2023-07-30,True,Ambassador Theatre
The Cottage,252243.7,"-$40,643.75",$72.69$227.00,"3,470581",70,85.32,-8.98,2023-07-30,False,Helen Hayes Theater
Funny Girl,1672810.75,"$352,946.40",$183.20$0.00,"9,1311,219",80,93.63,13.18,2023-07-30,True,August Wilson Theatre
"Good Night, Oscar",863771.68,"$30,497.68",$134.88$297.00,"6,4041,022",70,89.52,4.07,2023-07-30,False,Belasco Theatre
Grey House,644099.51,"$232,017.61",$90.44$257.00,"7,122904",80,98.48,18.9,2023-07-30,False,Lyceum Theatre
Hadestown,728293.02,"$17,888.87",$99.05$0.00,"7,353918",80,100.12,-0.26,2023-07-30,False,Walter Kerr Theatre
Hamilton,1873209.0,"-$19,353.00",$174.38$449.00,"10,7421,324",80,101.42,0.0,2023-07-30,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1448416.1,"$13,216.40",$122.71$349.00,"11,8041,622",80,90.97,1.47,2023-07-30,False,Lyric Theatre
Here Lies Love,913781.74,"$153,716.72",$105.75$327.00,"8,6411,090",80,99.09,-0.64,2023-07-30,False,Broadway Theatre
Just For Us,490517.0,"$55,123.00",$77.33$179.00,"6,343881",80,90.05,-1.47,2023-07-30,False,Hudson Theatre
Kimberly Akimbo,695356.77,"$9,147.42",$123.58$273.00,"5,627773",80,90.99,-3.32,2023-07-30,True,Booth Theatre
The Lion King,2813794.0,"$343,798.00",$189.94$199.00,"14,8141,696",90,97.05,-0.25,2023-07-30,True,Minskoff Theatre
MJ The Musical,1598842.0,"-$23,986.00",$149.17$250.00,"10,7181,387",80,96.59,-1.23,2023-07-30,False,Neil Simon Theatre
Moulin Rouge! The Musical,1341527.69,"$150,074.85",$129.04$0.00,"10,3961,300",80,99.96,0.59,2023-07-30,True,Al Hirschfeld Theatre
"New York, New York",914747.88,"$228,887.26",$80.89$0.00,"11,3081,659",80,85.2,16.11,2023-07-30,True,St. James Theatre
Once Upon A One More Time,579378.0,"$28,439.50",$80.35$297.00,"7,2111,604",80,56.2,4.34,2023-07-30,False,Marquis Theatre
Parade,1527936.92,"$232,307.42",$162.24$347.00,"9,4181,020",90,102.59,0.52,2023-07-30,True,Bernard B. Jacobs Theatre
The Shark is Broken,207873.25,$0.00,$47.00$227.00,"4,423802",6,91.92,0.0,2023-07-30,False,John Golden Theatre
Shucked,725040.4,"-$64,170.20",$89.07$179.00,"8,1401,171",80,86.89,-1.67,2023-07-30,True,Nederlander Theatre
SIX: The Musical,961616.25,"-$7,293.50",$121.46$249.00,"7,9171,031",80,95.99,1.42,2023-07-30,False,Lena Horne Theatre
Some Like It Hot,803556.28,"-$132,924.62",$96.00$278.00,"8,3701,448",80,72.25,-7.45,2023-07-30,True,Sam S. Shubert Theatre
Sweeney Todd,1774883.0,"-$55,352.00",$169.57$399.00,"10,4671,498",70,99.82,-0.98,2023-07-30,False,Lunt-Fontanne Theatre
Wicked,2139425.0,"$223,384.00",$130.05$275.00,"16,4511,860",90,98.28,0.81,2023-07-30,True,Gershwin Theatre
Aladdin,1618933.0,-$470.50,$118.76$215.50,"13,6321,727",80,98.67,0.72,2023-08-06,True,New Amsterdam Theatre
Back To The Future,1470611.52,"$334,719.67",$125.23$297.00,"11,7431,489",53,98.58,-0.67,2023-08-06,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",701651.82,"$44,571.32",$123.62$347.50,"5,6761,152",80,61.59,6.34,2023-08-06,False,Broadhurst Theatre
The Book of Mormon,974118.3,"$12,954.79",$117.58$0.00,"8,2851,066",80,97.15,1.27,2023-08-06,False,Eugene O'Neill Theatre
Chicago,637272.0,-$268.75,$93.99$248.00,"6,7801,080",80,78.47,-1.83,2023-08-06,True,Ambassador Theatre
The Cottage,308304.95,"$56,061.25",$88.42$227.00,"3,487581",80,75.02,-10.3,2023-08-06,False,Helen Hayes Theater
Funny Girl,1828701.45,"$155,890.70",$196.93$0.00,"9,2861,219",80,95.22,1.59,2023-08-06,True,August Wilson Theatre
"Good Night, Oscar",930029.88,"$66,258.20",$138.50$297.00,"6,7151,022",70,93.86,4.34,2023-08-06,False,Belasco Theatre
Hadestown,772904.3,"$44,611.28",$104.79$0.00,"7,376918",80,100.44,0.32,2023-08-06,False,Walter Kerr Theatre
Hamilton,1922324.0,"$49,115.00",$179.40$449.00,"10,7151,324",80,101.16,-0.26,2023-08-06,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1478026.9,"$29,610.80",$123.56$349.00,"11,9621,622",80,92.19,1.22,2023-08-06,False,Lyric Theatre
Here Lies Love,914854.8,"$1,073.06",$106.54$327.00,"8,5871,090",80,98.47,-0.62,2023-08-06,False,Broadway Theatre
Just For Us,569002.0,"$78,485.00",$77.63$179.00,"7,330975",80,93.97,3.92,2023-08-06,False,Hudson Theatre
Kimberly Akimbo,656835.15,"-$38,521.62",$116.42$273.00,"5,642773",80,91.24,0.25,2023-08-06,True,Booth Theatre
The Lion King,2493550.0,"-$320,244.00",$190.00$199.00,"13,1241,696",80,96.73,-0.32,2023-08-06,True,Minskoff Theatre
MJ The Musical,1574934.0,"-$23,908.00",$149.54$250.00,"10,5321,387",80,94.92,-1.67,2023-08-06,False,Neil Simon Theatre
Moulin Rouge! The Musical,1158210.11,"-$183,317.58",$113.34$0.00,"10,2191,300",80,98.26,-1.7,2023-08-06,True,Al Hirschfeld Theatre
Once Upon A One More Time,514442.0,"-$64,936.00",$87.34$297.00,"5,8901,604",70,52.46,-3.74,2023-08-06,False,Marquis Theatre
Parade,1814013.27,"$286,076.35",$192.49$497.00,"9,4241,020",90,102.66,0.07,2023-08-06,True,Bernard B. Jacobs Theatre
The Shark is Broken,269501.08,"$61,627.83",$45.22$227.00,"5,960802",8,92.89,0.97,2023-08-06,False,John Golden Theatre
Shucked,748393.2,"$23,352.80",$89.70$179.00,"8,3431,171",80,89.06,2.17,2023-08-06,True,Nederlander Theatre
SIX: The Musical,944136.0,"-$17,480.25",$119.86$249.00,"7,8771,031",80,95.5,-0.49,2023-08-06,False,Lena Horne Theatre
Some Like It Hot,889426.4,"$85,870.12",$100.13$278.00,"8,8831,448",80,76.68,4.43,2023-08-06,True,Sam S. Shubert Theatre
Sweeney Todd,1765436.0,"-$9,447.00",$171.94$399.00,"10,2681,498",70,97.92,-1.9,2023-08-06,False,Lunt-Fontanne Theatre
Wicked,1910102.0,"-$229,323.00",$130.96$275.00,"14,5851,867",80,97.68,-0.6,2023-08-06,True,Gershwin Theatre
Aladdin,1600542.2,"-$18,390.80",$119.03$215.50,"13,4471,727",80,97.33,-1.34,2023-08-13,True,New Amsterdam Theatre
Back To The Future,1322080.01,"-$148,531.51",$114.25$297.00,"11,5721,478",80,97.87,-0.71,2023-08-13,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",655928.25,"-$45,723.57",$134.69$347.50,"4,8701,153",80,52.8,-8.79,2023-08-13,False,Broadhurst Theatre
The Book of Mormon,921998.34,"-$52,119.96",$114.92$0.00,"8,0231,066",80,94.08,-3.07,2023-08-13,False,Eugene O'Neill Theatre
Chicago,668733.83,"$31,461.83",$95.55$273.00,"6,9991,080",80,81.01,2.54,2023-08-13,True,Ambassador Theatre
The Cottage,313624.05,"$5,319.10",$84.51$227.00,"3,711581",80,79.84,4.82,2023-08-13,False,Helen Hayes Theater
Funny Girl,1884644.65,"$55,943.20",$204.65$0.00,"9,2091,219",80,94.43,-0.79,2023-08-13,True,August Wilson Theatre
"Good Night, Oscar",993478.36,"$63,448.48",$141.54$297.00,"7,0191,022",70,98.11,4.25,2023-08-13,False,Belasco Theatre
Hadestown,900678.0,"$127,773.70",$121.24$0.00,"7,429918",80,101.16,0.72,2023-08-13,False,Walter Kerr Theatre
Hamilton,1909792.0,"-$12,532.00",$178.09$449.00,"10,7241,324",80,101.25,0.09,2023-08-13,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1397306.3,"-$80,720.60",$117.18$349.00,"11,9241,622",80,91.89,-0.3,2023-08-13,False,Lyric Theatre
Here Lies Love,950833.74,"$35,978.94",$108.98$327.00,"8,7251,101",80,99.06,0.59,2023-08-13,False,Broadway Theatre
Just For Us,680351.0,"$111,349.00",$88.43$179.00,"7,694975",80,98.64,4.67,2023-08-13,False,Hudson Theatre
Kimberly Akimbo,566284.9,"-$90,550.25",$112.43$273.00,"5,037773",80,81.45,-9.79,2023-08-13,True,Booth Theatre
The Lion King,2468402.0,"-$25,148.00",$184.73$199.00,"13,3621,696",80,98.48,1.75,2023-08-13,True,Minskoff Theatre
MJ The Musical,1518455.0,"-$56,479.00",$145.81$250.00,"10,4141,387",80,93.85,-1.07,2023-08-13,False,Neil Simon Theatre
Moulin Rouge! The Musical,1091231.12,"-$66,978.99",$107.58$0.00,"10,1431,300",80,97.53,-0.73,2023-08-13,True,Al Hirschfeld Theatre
Once Upon A One More Time,512008.0,"-$2,434.00",$84.16$297.00,"6,0841,604",80,47.41,-5.05,2023-08-13,False,Marquis Theatre
The Shark is Broken,254917.5,"-$14,583.58",$42.76$227.00,"5,961802",44,92.91,0.02,2023-08-13,False,John Golden Theatre
Shucked,717899.0,"-$30,494.20",$87.10$179.00,"8,2421,171",80,87.98,-1.08,2023-08-13,True,Nederlander Theatre
SIX: The Musical,861966.0,"-$82,170.00",$113.90$249.00,"7,5681,031",80,91.76,-3.74,2023-08-13,False,Lena Horne Theatre
Some Like It Hot,812384.48,"-$77,041.92",$94.71$278.00,"8,5781,448",80,74.05,-2.63,2023-08-13,True,Sam S. Shubert Theatre
Sweeney Todd,1699468.0,"-$65,968.00",$164.49$399.00,"10,3321,498",70,98.53,0.61,2023-08-13,False,Lunt-Fontanne Theatre
Wicked,1808293.0,"-$101,809.00",$130.32$275.00,"13,8761,807",80,95.99,-1.69,2023-08-13,True,Gershwin Theatre
Aladdin,1381821.5,"-$218,720.70",$107.27$199.50,"12,8821,727",80,93.24,-4.09,2023-08-20,True,New Amsterdam Theatre
Back To The Future,1258462.85,"-$63,617.16",$110.79$297.00,"11,3591,478",80,96.07,-1.8,2023-08-20,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",721526.79,"$65,598.54",$134.39$347.50,"5,3691,153",80,58.21,5.41,2023-08-20,False,Broadhurst Theatre
The Book of Mormon,928582.13,"$6,583.79",$116.76$0.00,"7,9531,066",80,93.26,-0.82,2023-08-20,False,Eugene O'Neill Theatre
Chicago,616318.16,"-$52,415.67",$95.01$273.00,"6,4871,080",80,75.08,-5.93,2023-08-20,True,Ambassador Theatre
The Cottage,310303.9,"-$3,320.15",$85.79$227.00,"3,617581",80,77.82,-2.02,2023-08-20,False,Helen Hayes Theater
El Mago Pop,624826.0,$0.00,$116.94$285.00,"5,3431,018",15,87.48,0.0,2023-08-20,False,Ethel Barrymore Theatre
Funny Girl,1216458.9,"-$668,185.75",$155.16$0.00,"7,8401,219",80,80.39,-14.04,2023-08-20,True,August Wilson Theatre
"Good Night, Oscar",1061788.6,"$68,310.24",$149.23$297.00,"7,1151,022",70,99.45,1.34,2023-08-20,False,Belasco Theatre
Hadestown,673447.51,"-$227,230.49",$92.74$0.00,"7,262918",80,98.88,-2.28,2023-08-20,False,Walter Kerr Theatre
Hamilton,1904853.0,"-$4,939.00",$178.42$449.00,"10,6761,324",80,100.79,-0.46,2023-08-20,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1282129.9,"-$115,176.40",$118.09$349.00,"10,8571,622",80,83.67,-8.22,2023-08-20,False,Lyric Theatre
Here Lies Love,777673.96,"-$173,159.78",$97.26$327.00,"7,9961,101",80,90.78,-8.28,2023-08-20,False,Broadway Theatre
Just For Us,812208.0,"$131,857.00",$104.68$179.00,"7,759975",80,99.47,0.83,2023-08-20,False,Hudson Theatre
Kimberly Akimbo,545954.55,"-$20,330.35",$111.37$273.00,"4,902773",80,79.27,-2.18,2023-08-20,True,Booth Theatre
The Lion King,2226635.0,"-$241,767.00",$164.95$199.00,"13,4991,696",80,99.49,1.01,2023-08-20,True,Minskoff Theatre
MJ The Musical,1451903.0,"-$66,552.00",$143.80$250.00,"10,0971,387",80,91.0,-2.85,2023-08-20,False,Neil Simon Theatre
Moulin Rouge! The Musical,1071570.91,"-$19,660.21",$108.63$0.00,"9,8641,300",80,94.85,-2.68,2023-08-20,True,Al Hirschfeld Theatre
Once Upon A One More Time,442404.0,"-$69,604.00",$76.75$297.00,"5,7641,604",80,44.92,-2.49,2023-08-20,False,Marquis Theatre
The Shark is Broken,271789.2,"$16,871.70",$57.72$227.00,"4,709802",80,73.39,-19.52,2023-08-20,False,John Golden Theatre
Shucked,674349.8,"-$43,549.20",$83.15$179.00,"8,1101,171",80,86.57,-1.41,2023-08-20,True,Nederlander Theatre
SIX: The Musical,827221.85,"-$34,744.15",$112.49$249.00,"7,3541,031",80,89.16,-2.6,2023-08-20,False,Lena Horne Theatre
Some Like It Hot,760177.25,"-$52,207.23",$97.68$278.00,"7,7821,448",80,67.18,-6.87,2023-08-20,True,Sam S. Shubert Theatre
Sweeney Todd,1325483.0,"-$373,985.00",$159.68$399.00,"8,3011,498",70,79.16,-19.37,2023-08-20,False,Lunt-Fontanne Theatre
Wicked,1559480.0,"-$248,813.00",$125.43$275.00,"12,4331,807",80,86.01,-9.98,2023-08-20,True,Gershwin Theatre
Aladdin,1315991.3,"-$65,830.20",$101.37$179.50,"12,9821,727",80,93.96,0.72,2023-08-27,True,New Amsterdam Theatre
Back To The Future,1169156.59,"-$89,306.26",$104.62$297.00,"11,1751,478",80,94.51,-1.56,2023-08-27,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",734318.5,"$12,791.71",$132.02$347.50,"5,5621,153",80,60.3,2.09,2023-08-27,False,Broadhurst Theatre
The Book of Mormon,862600.68,"-$65,981.45",$111.48$0.00,"7,7381,066",80,90.74,-2.52,2023-08-27,False,Eugene O'Neill Theatre
Chicago,597247.31,"-$19,070.85",$93.22$273.00,"6,4071,080",80,74.16,-0.92,2023-08-27,True,Ambassador Theatre
The Cottage,330172.0,"$19,868.10",$85.80$227.00,"3,848581",80,82.79,4.97,2023-08-27,False,Helen Hayes Theater
El Mago Pop,2717000.0,"$2,092,174.00",$212.85$350.00,"12,7651,018",130,96.46,8.98,2023-08-27,False,Ethel Barrymore Theatre
Funny Girl,2132453.94,"$915,995.04",$226.98$0.00,"9,3951,219",80,96.34,15.95,2023-08-27,True,August Wilson Theatre
"Good Night, Oscar",1147057.04,"$85,268.44",$158.70$322.00,"7,2281,022",70,101.03,1.58,2023-08-27,False,Belasco Theatre
Hadestown,613882.62,"-$59,564.89",$88.51$0.00,"6,936918",80,94.44,-4.44,2023-08-27,False,Walter Kerr Theatre
Hamilton,1834851.0,"-$70,002.00",$173.90$449.00,"10,5511,324",80,99.61,-1.18,2023-08-27,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1161096.9,"-$121,033.00",$108.36$349.00,"10,7151,622",80,82.58,-1.09,2023-08-27,False,Lyric Theatre
Here Lies Love,627519.84,"-$150,154.12",$90.13$327.00,"6,9621,101",80,79.04,-11.74,2023-08-27,False,Broadway Theatre
Kimberly Akimbo,589375.45,"$43,420.90",$115.75$273.00,"5,092773",80,82.34,3.07,2023-08-27,True,Booth Theatre
The Lion King,1991990.0,"-$234,645.00",$156.39$199.00,"12,7371,696",80,93.88,-5.61,2023-08-27,True,Minskoff Theatre
MJ The Musical,1455681.0,"$3,778.00",$143.94$250.00,"10,1131,387",80,91.14,0.14,2023-08-27,False,Neil Simon Theatre
Moulin Rouge! The Musical,1097674.63,"$26,103.72",$108.55$0.00,"10,1121,300",80,97.23,2.38,2023-08-27,True,Al Hirschfeld Theatre
Once Upon A One More Time,451814.0,"$9,410.00",$65.95$297.00,"6,8511,604",80,53.39,8.47,2023-08-27,False,Marquis Theatre
The Shark is Broken,277366.2,"$5,577.00",$54.31$227.00,"5,107802",80,79.6,6.21,2023-08-27,False,John Golden Theatre
Shucked,688908.2,"$14,558.40",$83.97$179.00,"8,2041,171",80,87.57,1.0,2023-08-27,True,Nederlander Theatre
SIX: The Musical,778699.3,"-$48,522.55",$111.15$249.00,"7,0061,031",80,84.94,-4.22,2023-08-27,False,Lena Horne Theatre
Some Like It Hot,733705.71,"-$26,471.54",$98.94$278.00,"7,4161,448",80,64.02,-3.16,2023-08-27,True,Sam S. Shubert Theatre
Sweeney Todd,1367292.0,"$41,809.00",$152.79$399.00,"8,9491,498",70,85.34,6.18,2023-08-27,False,Lunt-Fontanne Theatre
Wicked,1514362.0,"-$45,118.00",$121.39$275.00,"12,4751,807",80,86.3,0.29,2023-08-27,True,Gershwin Theatre
Aladdin,1362245.8,"$46,254.50",$101.60$199.50,"13,4081,727",80,97.05,3.09,2023-09-03,True,New Amsterdam Theatre
Back To The Future,1234640.0,"$65,483.41",$105.59$297.00,"11,6931,478",80,98.89,4.38,2023-09-03,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",892485.0,"$158,166.50",$141.19$347.50,"6,3211,153",80,68.53,8.23,2023-09-03,False,Broadhurst Theatre
The Book of Mormon,1027176.36,"$164,575.68",$124.52$0.00,"8,2491,066",80,96.73,5.99,2023-09-03,False,Eugene O'Neill Theatre
Chicago,647209.05,"$49,961.74",$94.61$273.00,"6,8411,080",80,79.18,5.02,2023-09-03,True,Ambassador Theatre
The Cottage,333960.2,"$3,788.20",$83.93$227.00,"3,979581",80,85.61,2.82,2023-09-03,False,Helen Hayes Theater
Funny Girl,2137057.2,"$4,603.26",$252.79$0.00,"8,4541,219",80,86.69,-9.65,2023-09-03,True,August Wilson Theatre
Hadestown,691384.0,"$77,501.38",$94.22$0.00,"7,338918",80,99.92,5.48,2023-09-03,False,Walter Kerr Theatre
Hamilton,1895715.0,"$60,864.00",$177.73$449.00,"10,6661,324",80,100.7,1.09,2023-09-03,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1316624.85,"$155,527.95",$118.58$349.00,"11,1031,622",80,85.57,2.99,2023-09-03,False,Lyric Theatre
Here Lies Love,715561.7,"$88,041.86",$93.11$327.00,"7,6851,101",80,87.25,8.21,2023-09-03,False,Broadway Theatre
Kimberly Akimbo,655864.55,"$66,489.10",$118.95$273.00,"5,514773",80,89.17,6.83,2023-09-03,True,Booth Theatre
The Lion King,2077375.0,"$85,385.00",$154.76$199.00,"13,4231,696",80,98.93,5.05,2023-09-03,True,Minskoff Theatre
MJ The Musical,1591200.0,"$135,519.00",$149.21$250.00,"10,6641,387",80,96.11,4.97,2023-09-03,False,Neil Simon Theatre
Moulin Rouge! The Musical,1262867.31,"$165,192.68",$122.88$0.00,"10,2771,300",80,98.82,1.59,2023-09-03,True,Al Hirschfeld Theatre
Once Upon A One More Time,761891.8,"$310,077.80",$70.42$297.00,"10,8191,604",80,84.31,30.92,2023-09-03,False,Marquis Theatre
The Shark is Broken,282125.7,"$4,759.50",$56.44$227.00,"4,999802",80,77.91,-1.69,2023-09-03,False,John Golden Theatre
Shucked,798889.8,"$109,981.60",$90.44$179.00,"8,8331,171",80,94.29,6.72,2023-09-03,True,Nederlander Theatre
SIX: The Musical,939220.35,"$160,521.05",$117.77$249.00,"7,9751,031",80,96.69,11.75,2023-09-03,False,Lena Horne Theatre
Some Like It Hot,859821.57,"$126,115.86",$98.41$278.00,"8,7371,448",80,75.42,11.4,2023-09-03,True,Sam S. Shubert Theatre
Sweeney Todd,1674861.8,"$307,569.80",$160.23$399.00,"10,4531,498",70,99.69,14.35,2023-09-03,False,Lunt-Fontanne Theatre
Wicked,1697026.5,"$182,664.50",$125.16$275.00,"13,5591,807",80,93.79,7.49,2023-09-03,True,Gershwin Theatre
Aladdin,1219766.9,"-$142,478.90",$93.91$199.50,"12,9891,727",80,94.01,-3.04,2023-09-10,True,New Amsterdam Theatre
Back To The Future,1079604.87,"-$155,035.13",$98.29$297.00,"10,9841,478",80,92.9,-5.99,2023-09-10,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",1008020.85,"$115,535.85",$135.54$347.50,"7,4371,153",80,80.63,12.1,2023-09-10,False,Broadhurst Theatre
The Book of Mormon,941801.34,"-$85,375.02",$113.58$0.00,"8,2921,066",80,97.23,0.5,2023-09-10,False,Eugene O'Neill Theatre
Chicago,690113.97,"$42,904.92",$89.34$237.00,"7,7251,080",80,89.41,10.23,2023-09-10,True,Ambassador Theatre
The Cottage,317658.0,"-$16,302.20",$90.27$227.00,"3,519581",80,75.71,-9.9,2023-09-10,False,Helen Hayes Theater
Hadestown,670976.7,"-$20,407.30",$96.06$0.00,"6,985918",80,95.11,-4.81,2023-09-10,False,Walter Kerr Theatre
Hamilton,1746638.0,"-$149,077.00",$165.10$449.00,"10,5791,324",80,99.88,-0.82,2023-09-10,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1056911.15,"-$259,713.70",$98.56$349.00,"10,7241,622",80,82.64,-2.93,2023-09-10,False,Lyric Theatre
Here Lies Love,604270.8,"-$111,290.90",$85.43$327.00,"7,0731,101",80,80.3,-6.95,2023-09-10,False,Broadway Theatre
Kimberly Akimbo,587093.3,"-$68,771.25",$111.15$273.00,"5,282773",80,85.41,-3.76,2023-09-10,True,Booth Theatre
The Lion King,1850459.0,"-$226,916.00",$140.01$199.00,"13,2171,696",80,97.41,-1.52,2023-09-10,True,Minskoff Theatre
MJ The Musical,1515558.0,"-$75,642.00",$140.82$250.00,"10,7621,387",80,96.99,0.88,2023-09-10,False,Neil Simon Theatre
Moulin Rouge! The Musical,1204650.6,"-$58,216.71",$117.95$0.00,"10,2131,300",80,98.2,-0.62,2023-09-10,True,Al Hirschfeld Theatre
Purlie Victorious,227928.3,$0.00,$62.00$297.00,"3,6761,009",6,60.72,0.0,2023-09-10,False,Music Box Theatre
The Shark is Broken,276921.1,"-$5,204.60",$57.62$227.00,"4,806802",80,74.91,-3.0,2023-09-10,False,John Golden Theatre
Shucked,699188.6,"-$99,701.20",$87.74$179.00,"7,9691,171",80,85.07,-9.22,2023-09-10,True,Nederlander Theatre
SIX: The Musical,838518.45,"-$100,701.90",$110.49$249.00,"7,5891,031",80,92.01,-4.68,2023-09-10,False,Lena Horne Theatre
Some Like It Hot,797179.8,"-$62,641.77",$89.54$278.00,"8,9031,448",80,76.86,1.44,2023-09-10,True,Sam S. Shubert Theatre
Sweeney Todd,1593121.6,"-$81,740.20",$158.57$399.00,"10,0471,498",70,95.81,-3.88,2023-09-10,False,Lunt-Fontanne Theatre
Wicked,1487873.0,"-$209,153.50",$107.20$275.00,"13,8791,807",80,96.01,2.22,2023-09-10,True,Gershwin Theatre
Aladdin,1225175.3,"$5,408.40",$95.44$199.50,"12,8371,727",80,92.91,-1.1,2023-09-17,True,New Amsterdam Theatre
Back To The Future,1095419.5,"$15,814.63",$96.47$297.00,"11,3551,478",80,96.03,3.13,2023-09-17,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",985165.3,"-$22,855.55",$127.38$347.50,"7,7341,153",80,83.85,3.22,2023-09-17,False,Broadhurst Theatre
The Book of Mormon,931250.54,"-$10,550.80",$113.04$0.00,"8,2381,066",80,96.6,-0.63,2023-09-17,False,Eugene O'Neill Theatre
Chicago,715024.45,"$24,910.48",$89.95$237.00,"7,9491,080",80,92.0,2.59,2023-09-17,True,Ambassador Theatre
The Cottage,358169.45,"$40,511.45",$92.77$227.00,"3,861581",80,83.07,7.36,2023-09-17,False,Helen Hayes Theater
Gutenberg! The Musical!,376299.5,$0.00,$122.65$297.00,"3,0681,068",3,95.76,0.0,2023-09-17,False,James Earl Jones Theatre
Hadestown,671687.25,$710.55,$94.42$0.00,"7,114918",80,96.87,1.76,2023-09-17,False,Walter Kerr Theatre
Hamilton,1708506.5,"-$38,131.50",$161.68$449.00,"10,5671,324",80,99.76,-0.12,2023-09-17,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1091467.55,"$34,556.40",$97.49$299.00,"11,1961,622",80,86.28,3.64,2023-09-17,False,Lyric Theatre
Here Lies Love,634405.88,"$30,135.08",$84.54$327.00,"7,5041,101",80,85.2,4.9,2023-09-17,False,Broadway Theatre
Jaja’s African Hair Braiding,165345.0,$0.00,$44.51$276.00,"3,715637",6,97.2,0.0,2023-09-17,False,Samuel J. Friedman Theatre
Kimberly Akimbo,588851.33,"$1,758.03",$108.66$273.00,"5,419773",80,87.63,2.22,2023-09-17,True,Booth Theatre
The Lion King,1834382.0,"-$16,077.00",$141.30$199.00,"12,9821,696",80,95.68,-1.73,2023-09-17,True,Minskoff Theatre
Melissa Etheridge: My Window,184162.0,$0.00,$79.38$349.50,"2,320726",4,79.89,0.0,2023-09-17,False,Circle in the Square Theatre
MJ The Musical,1477234.0,"-$38,324.00",$137.55$250.00,"10,7401,387",80,96.79,-0.2,2023-09-17,False,Neil Simon Theatre
Moulin Rouge! The Musical,1211552.23,"$6,901.63",$118.71$0.00,"10,2061,300",80,98.13,-0.07,2023-09-17,True,Al Hirschfeld Theatre
Purlie Victorious,331699.7,"$103,771.40",$60.22$297.00,"5,5081,009",8,68.24,7.52,2023-09-17,False,Music Box Theatre
The Shark is Broken,275011.0,"-$1,910.10",$59.23$227.00,"4,643802",80,72.37,-2.54,2023-09-17,False,John Golden Theatre
Shucked,742792.3,"$43,603.70",$88.04$179.00,"8,4371,171",80,90.06,4.99,2023-09-17,True,Nederlander Theatre
